pH,C,M,Y,K
3.98,0,22.2016,77.1722,11.5484
3.99,0,21.9908,77.2511,11.6542
4,0,21.78,77.33,11.76
4.01,0,21.5424,77.2893,11.9091
4.02,0,21.3048,77.2486,12.0582
4.03,0,21.0672,77.2079,12.2073
4.04,0,20.8296,77.1672,12.3564
4.05,0,20.592,77.1265,12.5055
4.06,0,20.3544,77.0858,12.6546
4.07,0,20.1168,77.0451,12.8037
4.08,0,19.8792,77.0044,12.9528
4.09,0,19.6416,76.9637,13.1019
4.1,0,19.404,76.923,13.251
4.11,0,19.1664,76.8823,13.4001
4.12,0,18.9288,76.8416,13.5492
4.13,0,18.6912,76.8009,13.6983
4.14,0,18.4536,76.7602,13.8474
4.15,0,18.216,76.7195,13.9965
4.16,0,17.9784,76.6788,14.1456
4.17,0,17.7408,76.6381,14.2947
4.18,0,17.5032,76.5974,14.4438
4.19,0,17.2656,76.5567,14.5929
4.2,0,17.028,76.516,14.742
4.21,0,16.7904,76.4753,14.8911
4.22,0,16.5528,76.4346,15.0402
4.23,0,16.3152,76.3939,15.1893
4.24,0,16.0776,76.3532,15.3384
4.25,0,15.84,76.3125,15.4875
4.26,0,15.6024,76.2718,15.6366
4.27,0,15.3648,76.2311,15.7857
4.28,0,15.1272,76.1904,15.9348
4.29,0,14.8896,76.1497,16.0839
4.3,0,14.652,76.109,16.233
4.31,0,14.4144,76.0683,16.3821
4.32,0,14.1768,76.0276,16.5312
4.33,0,13.9392,75.9869,16.6803
4.34,0,13.7016,75.9462,16.8294
4.35,0,13.464,75.9055,16.9785
4.36,0,13.2264,75.8648,17.1276
4.37,0,12.9888,75.8241,17.2767
4.38,0,12.7512,75.7834,17.4258
4.39,0,12.5136,75.7427,17.5749
4.4,0,12.276,75.702,17.724
4.41,0,12.0384,75.6613,17.8731
4.42,0,11.8008,75.6206,18.0222
4.43,0,11.5632,75.5799,18.1713
4.44,0,11.3256,75.5392,18.3204
4.45,0,11.088,75.4985,18.4695
4.46,0,10.8504,75.4578,18.6186
4.47,0,10.6128,75.4171,18.7677
4.48,0,10.3752,75.3764,18.9168
4.49,0,10.1376,75.3357,19.0659
4.5,0,9.9,75.295,19.215
4.51,0,9.632,75.2543,19.3641
4.52,0,9.364,75.2136,19.5132
4.53,0,9.096,75.1729,19.6623
4.54,0,8.828,75.1322,19.8114
4.55,0,8.56,75.0915,19.9605
4.56,0,8.292,75.0508,20.1096
4.57,0,8.024,75.0101,20.2587
4.58,0,7.756,74.9694,20.4078
4.59,0,7.488,74.9287,20.5569
4.6,0,7.22,74.888,20.706
4.61,0,6.952,74.8473,20.8551
4.62,0,6.684,74.8066,21.0042
4.63,0,6.416,74.7659,21.1533
4.64,0,6.148,74.7252,21.3024
4.65,0,5.88,74.6845,21.4515
4.66,0,5.612,74.6438,21.6006
4.67,0,5.344,74.6031,21.7497
4.68,0,5.076,74.5624,21.8988
4.69,0,4.808,74.5217,22.0479
4.7,0,4.54,74.481,22.197
4.71,0,4.272,74.4403,22.3461
4.72,0,4.004,74.3996,22.4952
4.73,0,3.736,74.3589,22.6443
4.74,0,3.468,74.31820001,22.7934
4.75,0,3.2,74.27750001,22.9425
4.76,0,2.855343271,74.23680001,23.0916
4.77,0,2.567880446,74.19610001,23.2407
4.78,0,2.278961806,74.15540001,23.3898
4.79,0,1.988576264,74.11470001,23.5389
4.8,0,1.696712619,74.07400001,23.688
4.81,0,1.403359558,74.03330001,23.8371
4.82,0,1.108505649,73.99260001,23.9862
4.83,0,0.812139346,73.95190001,24.1353
4.84,0,0.514248982,73.91120001,24.2844
4.85,0,0.214822771,73.87050001,24.4335
4.86,0.086077039,0,73.82980001,24.5826
4.87,0.387180039,0,73.78910001,24.7317
4.88,0.688024081,0,73.74840001,24.8808
4.89,0.988609499,0,73.70770001,25.0299
4.9,1.288936627,0,73.66700001,25.179
4.91,1.589005798,0,73.62630001,25.3281
4.92,1.888817343,0,73.58560001,25.4772
4.93,2.188371594,0,73.54490001,25.6263
4.94,2.487668883,0,73.50420001,25.7754
4.95,2.786709539,0,73.46350001,25.9245
4.96,3.085493893,0,73.42280001,26.0736
4.97,3.384022275,0,73.38210001,26.2227
4.98,3.682295012,0,73.34140001,26.3718
4.99,3.980312433,0,73.30070001,26.5209
5,4.278074866,0,73.26,26.67
5.01,4.3287,0,73.1372,26.7602
5.02,4.3774,0,73.0144,26.8504
5.03,4.4261,0,72.8916,26.9406
5.04,4.4748,0,72.7688,27.0308
5.05,4.5235,0,72.646,27.121
5.06,4.5722,0,72.5232,27.2112
5.07,4.6209,0,72.4004,27.3014
5.08,4.6696,0,72.2776,27.3916
5.09,4.7183,0,72.1548,27.4818
5.1,4.767,0,72.032,27.572
5.11,4.8157,0,71.9092,27.6622
5.12,4.8644,0,71.7864,27.7524
5.13,4.9131,0,71.6636,27.8426
